26160.9,25623.35,25580.34,25406.33,24851.83,24934.33,24825.04,24682.03,24854.11,24772.97,24455.04,24188.37,24479.84,24062.04,23962.21,24435.66,24485.95,24492.39,24469.57,24870.69,24779.6495,24779.65,24779.65
24824.83,24539,24223.32,24338.43,24616.97,24287.42,24020.98,23758.9,22951.83,22986.12,23554.12,23191.97,23381.87,23649.22,23709.15,23788.79,23410.18,23088.93,22976,23154.3,23002,23688.30143,23688.30143
23779.35,24242.98,24606.99,24646.48,24659.23,24793.96,24623.34,24717.99,24804.28,24551.17,24682.48,24677.37,24952.74,25285.37,25330.49,25337.56,24966.4,24900.46,25338.58,25341.86,24811.954,24811.95,24811.95
25269.64,25399.65,24883.59,24900.63,24685.42,24673.84,25022.16,25145.59,25626.75,25816.36,25844.18,25880.38,25838.14,25678.93,26007.3,26064.12,25603.1,25606.62,25441.46667,25441.47,25441.47,25441.47,25441.47
25436.97,25229.7,25101.73,25262.21,25228.5,25688.86,25772.53,25597.02,25790.22,25489.57,25653.23,25773.61,25704.61,25399.72,25301.9,25230.36,25305.47,25881.17,26366.68,26653.6,26725.6,26667.96,26667.96
26713.93,26843.14,26843.03,26777.45,27009.67,27020.66,26763.46,26635.75,26396.77,26395.71,26726.34,26525.46,26625.91,26866.92,26812.78,26765.65,27002.22,26397.71,26402.96,26524.55,26740.39,26999.72,26999.72
27144.91,27278.76,27166.87,27201.49,27126.9,27626.69,27808.14,27815.18,27942.11,27836.5,27746.66,27787.62,27915.89,27710.52,27803.24,28095.34,27976.52,28024.33,28208.62,28051.86,27713.4075,27713.41,27713.41
28003.12,27981.71,27697.51,27714.37,28078.35,28182.57,28085.16,27774.88,27859.6,28152.4,28064.61,28005.37,28123.44,28077,27985.54,27990.21,28059.94,27835.91,27782.25,27902.66,28343.01,28452.17,28452.17
28423.48,28532.11,28978.02,28926.36,29045.28,28797.25,28353.54,28372.23,28412.89,28599.03,28634.5,28523.2,28507.42,28773.13,28668.22,28294.28,28223.7,28292.81,27827.53,27865.96,28502.547,28502.55,28502.55
28243.29,28334.55,28220.98,28106.21,28061.14,28082.34,27643.11,27673.6,27529.97,28050.88,27984.37,28129.84,28077.18,28179.08,28091.42,27836.51,27915.9,27941.51,27930.21,28001.68895,28001.69,28001.69,28001.69
27876.61,27527.22,27430.28,27274.15,27458.99,27591.14,27252.53,27517.68,26818.82,26304.63,26298.69,26227.62,26150.24,25765.14,25960.78,26051.81,25860.17,26316.34,26350.17,26394.01,26652.81,26718.08714,26718.08714
26559.92,26230.66,26349.1,26392.76,26236.87,26694.28,26747.18,26515.24,26697.82,26602.84,26519.07,26489.56,26374.7,26307.98,26242.38,25979.6,26040.7,25807.1,26213.44,26210.68,26366.15,26626.46,26626.46
26595.45,26643.24,26633.13,26878.24,26759.23,26726.55,26899.56,27140.41,27247.16,27238.06,27288.17,27235.66,27257.64,27308.6,27034.5,27117.34,27375.58,27708.14,27882.46,27849.56,27655.96,27165.45905,27165.45905
28141.64,28226.61,28240.52,28439.28,28335.16,28289.92,28329.7,28334.25,28351.62,28339.31,28155.56,28301.27,28468.75,28661.58,28761.59,28864.71,28892.97,28812.88,28743.32,28457.40211,28457.4021,28457.4021,28457.4021
28984.49,28839.79,28832.45,29048.19,28999.56,28901.94,28929.13,28946.23,29442.63,29398.11,29585.85,29648.99,29518.74,29485.45,29167.68,29332.16,29421.4,29237.15,29409.52,29531.43,29647.42,29620.5,29620.5
29910.22,29974.24,29927.34,29706.61,29575.74,29788.35,29643.48,29461.45,29413.66,29319.1,29336.57,29422.39,29365.3,29655.84,29943.24,30133.35,30029.74,29918.4,29695.83444,29695.8344,29695.8344,29695.8344,29695.8344
29921.18,29894.8,30126.21,29858.8,29926.15,29933.25,30248.17,30250.98,30188.15,30322.12,30582.6,30658.77,30434.79,30464.92,30570.97,30365.25,30301.64,30750.03,31028.21,31109.28,31159.4,31145.8,31145.8
31137.59,31273.29,31309.49,31190.56,31271.28,31213.36,31262.06,31095.7,31103.49,31155.91,31075.73,31056.4,31311.57,31297.53,31283.64,31290.74,31138.21,30958.25,30834.32,30857.52,30921.61,31144.67857,31144.67857
31221.62,31209.79,31245.56,31369.34,31360.63,31715.64,31747.09,31804.82,32037.38,32020.75,32074.78,31710.99,31955.35,31904.4,32028.89,32245.87,32228.27,32382.46,32383.3,32309.88,32514.94,31879.60714,31879.60714
32575.17,32476.74,32237.88,32325.41,32273.67,32014.19,31797.84,31531.33,31213.59,31449.03,31770.89,31795.46,31524.68,31258.85,31291.85,31568.01,31596.06,31750.82,31388.39,31646.46,31730.49,31772.22905,31772.22905
31892.23,31702.25,31809.55,31661.97,31662.74,31687.52,31882.16,32158.66,32186.41,32241.93,32272.61,32423.76,32402.37,32400.51,32370.04,31922.44,31626.63,31599.76,31159.81,31282.48,31283.72,31887.12143,31887.12143
31497.38,31671.71,31592.03,31814.22,31846.89,31924.41,31833.99,32182.22,32432.69,32633.64,32609.16,32584.35,32389.96,32506.72,32607.34,33042.5,33147.13,33157.22,33266.16,33213.13,32397.6425,32397.6425,32397.6425
33600.27,33573.22,33685.56,33731.19,33370.76,33218.81,33250.93,33314.56,33033.56,32941.87,32760.44,33106.82,33342.8,33359.9,33478.35,33561.55,33588.08,33679.24,33724.44,33618.59,33602.76,33149.35,33149.35
32832.94,32869.72,32802.44,32597.18,32949.21,33250.3,33455.79,33227.99,33053.04,33246.7,33462.97,33601.68,33836.74,33777.38,33756.28,33940.3,34010.61,33911.81,33848.03,34056.83,33424.397,33424.397,33424.397
